file,target,phase,associations,callbacks,scopes,includes
app/models/concerns/webpage_trackable.rb,services/api/internal/domain + gorm models,P1,5:has_many:webpage_references,7:after_commit:queue_webpage_sync | 8:before_destroy:capture_webpage_domains,,
app/models/consumer_app.rb,services/api/internal/domain + gorm models,P1,13:has_many:devices,16:after_update:clear_rpush_app,,
app/models/context_note.rb,services/api/internal/comments,P1,2:belongs_to:article | 3:belongs_to:tag,9:before_validation:process_body_markdown,,
app/models/context_notification.rb,services/api/internal/comments,P1,7:belongs_to:context,,,
app/models/credit.rb,services/api/internal/domain + gorm models,P1,4:belongs_to:user | 5:belongs_to:organization | 6:belongs_to:purchase,,"8:scope :spent, -> { where(spent: true) } | 9:scope :unspent, -> { where(spent: false) }",
app/models/device.rb,services/api/internal/domain + gorm models,P1,2:belongs_to:consumer_app | 3:belongs_to:user,,,
app/models/discussion_lock.rb,services/api/internal/domain + gorm models,P1,9:belongs_to:article | 10:belongs_to:locking_user,,,"12:include StringAttributeCleaner.nullify_blanks_for(:notes, :reason)"
app/models/email.rb,services/api/internal/domain + gorm models,P1,2:belongs_to:audience_segment | 3:belongs_to:user_query | 4:has_many:email_messages,6:after_commit:deliver_to_users,,
app/models/email_authorization.rb,services/api/internal/domain + gorm models,P1,2:belongs_to:user,12:before_create:generate_confirmation_token,,
app/models/email_message.rb,services/api/internal/domain + gorm models,P1,2:belongs_to:feedback_message | 3:belongs_to:email,,,
app/models/event.rb,services/api/internal/domain + gorm models,P1,6:belongs_to:user | 7:belongs_to:organization | 9:has_many:billboards,22:before_save:format_stream_urls | 23:after_commit:ensure_broadcast_billboards_and_workers,"25:scope :published, -> { where(published: true) }",3:include Taggable
app/models/feed_config.rb,services/api/internal/settings,P1,2:has_many:feed_events,,,
app/models/feed_event.rb,services/api/internal/domain + gorm models,P1,6:belongs_to:article | 7:belongs_to:user | 8:belongs_to:feed_config,10:after_save:update_article_counters_and_scores | 11:after_save:create_feed_config_offshoot,,
app/models/feedback_message.rb,services/api/internal/domain + gorm models,P1,4:belongs_to:offender | 5:belongs_to:reporter | 6:belongs_to:affected | 7:belongs_to:reported | 9:has_one:email_message | 10:has_many:notes,16:before_save:determine_reported_from_url,"22:scope :open_abuse_reports, -> { where(status: ""Open"", feedback_type: ""abuse-reports"") } | 23:scope :all_user_reports, lambda { |user|",
app/models/feeds/import_item.rb,services/api/internal/domain + gorm models,P1,5:belongs_to:import_log | 7:belongs_to:article,,,
app/models/feeds/import_log.rb,services/api/internal/domain + gorm models,P1,7:belongs_to:user | 8:belongs_to:feed_source | 9:has_many:import_items,,"14:scope :recent, -> { order(created_at: :desc) } | 15:scope :for_cleanup, -> { where(created_at: ...30.days.ago) } | 16:scope :for_feed_source, ->(feed_source_id) { where(feed_source_id: feed_source_id) } | 17:scope :notable, -> { where(""items_imported > 0 OR items_failed > 0 OR status = ?"", statuses[:failed]) } | 18:scope :routine, -> { where(status: :completed).where(items_imported: 0, items_failed: 0) }",5:include Feeds::Stateful
